# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CARROT,0.33,CARROT,6.60,999,-989.9,NO,989.9,CARROT,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,LENTILS RED,1.33,OZ,26.60,999,-972.4,NO,972.4,OZ,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,SALT,0.01,TSP,0.20,999,-965.25,NO,965.25,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,BLACK PEPPER,0.01,TSP,0.20,999,-987.595,NO,987.595,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,FRESH HERBS,0.04,CUP,0.80,0,0.80,YES,0.8,CUP,AMAZON
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,LEMON JUICE,0.25,TBSP,5.00,999,-983.375,NO,983.375,TBSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,SOUR CREAM/YOGURT,0.25,TBSP,5.00,0,5.00,YES,5,TBSP,AMAZON
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,FLAX POWDER,0.13,TBSP,1.88,999,-993.375,NO,993.375,TBSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,FLOUR,0.13,CUP,1.95,999,-997.05,NO,997.05,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,OATS,0.09,CUP,1.35,999,-993.9,NO,993.9,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,BAKING POWDER,0.25,TSP,3.75,999,-994.3125,NO,994.3125,TSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,VANILLA  EXTRACT,0.13,TSP,1.95,999,-995.175,NO,995.175,TSP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MAPLE SYRUP,0.04,CUP,0.60,999,-975.9,NO,975.9,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,COCONUT OIL,0.04,CUP,0.60,999,-998.4,NO,998.4,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MILK,0.03,CUP,0.45,999,-996.83125,NO,996.83125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,PEACH,0.13,CUP,1.95,999,-993.3,NO,993.3,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,WHOLE WHEAT FLOUR,0.13,CUP,1.88,999,-997.125,NO,997.125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,ROLLED OATS,0.09,CUP,1.41,999,-997.59375,NO,997.59375,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,MILK,0.03,CUP,0.47,999,-996.83125,NO,996.83125,CUP,RD
15,DESSERT,GINGER PEACH MUFFINS WITH OAT STREUSEL,MUFFINS,PEACH,0.25,CUP,3.75,999,-993.3,NO,993.3,CUP,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,BUTTER,16.67,GRAMS,250.05,999,-748.95,NO,748.95,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,BROWN RICE FLOUR,16.67,GRAMS,250.05,999,-747.7,NO,747.7,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,ALMONDS,16.67,GRAMS,250.05,999,-733.95,NO,733.95,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,CRUMBLE TOPPING,SUGAR,16.67,GRAMS,250.05,999,-742.575,NO,742.575,GRAMS,RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,PLUM,100.00,GRAMS,"1,500.00",0,"1,500.00",YES,1500,GRAMS,AMAZON
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,APPLES,0.50,APPLES (GREEN),7.50,0,7.50,YES,7.5,APPLES (GREEN),RD
15,DESSERT,PLUM & APPLE CRUMBLE WITH CINNAMON-ALMOND CRUNCH,PLUM & APPLE ,BROWN SUGAR,6.67,GRAMS,100.05,999,-895.35,NO,895.35,GRAMS,RD
